month,ave_time,ave_trip,location
1,130833909.66666667,160855.33333333334,DC
2,162672802.33333334,183459,DC
3,241487569,237022,DC
4,392023487.3333333,330673.6666666667,DC
5,371285390.6666667,334995.6666666667,DC
6,407224473.6666667,362755,DC
7,435409449.3333333,366181.3333333333,DC
8,404148352,371141.3333333333,DC
9,356249382,344925.6666666667,DC
10,339026613,343499,DC
11,194315281.33333334,226084.66666666666,DC
12,130288874,162074.33333333334,DC
